country,points,date
Argentina,1843.73,2023-06-29
France,1843.54,2023-06-29
Brazil,1828.27,2023-06-29
England,1797.39,2023-06-29
Belgium,1788.55,2023-06-29
Croatia,1742.55,2023-06-29
Netherlands,1731.23,2023-06-29
Italy,1726.58,2023-06-29
Portugal,1718.25,2023-06-29
Spain,1703.45,2023-06-29
USA,1673.34,2023-06-29
Switzerland,1661.12,2023-06-29
Morocco,1655.5,2023-06-29
Mexico,1639.19,2023-06-29
Germany,1636.32,2023-06-29
Uruguay,1633.13,2023-06-29
Colombia,1624.91,2023-06-29
Senegal,1612.61,2023-06-29
Denmark,1597.37,2023-06-29
Japan,1595.96,2023-06-29
Peru,1561.2,2023-06-29
IR Iran,1556.59,2023-06-29
Sweden,1547.11,2023-06-29
Ukraine,1541.25,2023-06-29
Serbia,1539.03,2023-06-29
Poland,1536.99,2023-06-29
Australia,1530.45,2023-06-29
Korea Republic,1529.3,2023-06-29
Austria,1528.06,2023-06-29
Scotland,1520.24,2023-06-29
Tunisia,1516.66,2023-06-29
Chile,1511.31,2023-06-29
Algeria,1511.23,2023-06-29
Egypt,1509.89,2023-06-29
Wales,1506.04,2023-06-29
Hungary,1504.57,2023-06-29
Czechia,1503.69,2023-06-29
Russia,1495.53,2023-06-29
Nigeria,1486.48,2023-06-29
Ecuador,1486.47,2023-06-29
Türkiye,1484.47,2023-06-29
Costa Rica,1478.3,2023-06-29
Cameroon,1470.97,2023-06-29
Norway,1458.47,2023-06-29
Canada,1454.12,2023-06-29
Slovakia,1447.05,2023-06-29
Romania,1443.98,2023-06-29
Paraguay,1442.64,2023-06-29
Greece,1441.06,2023-06-29
Mali,1438.01,2023-06-29
Côte d'Ivoire,1433.38,2023-06-29
Republic of Ireland,1426.26,2023-06-29
Saudi Arabia,1421.46,2023-06-29
Finland,1419.47,2023-06-29
Burkina Faso,1419.18,2023-06-29
Venezuela,1417.23,2023-06-29
Panama,1399.23,2023-06-29
Qatar,1393.52,2023-06-29
Ghana,1391.13,2023-06-29
Slovenia,1391.04,2023-06-29
Bosnia and Herzegovina,1381.1,2023-06-29
South Africa,1369.49,2023-06-29
Jamaica,1367.83,2023-06-29
Northern Ireland,1361.17,2023-06-29
Albania,1357.39,2023-06-29
Cabo Verde,1354.65,2023-06-29
Iceland,1352.98,2023-06-29
North Macedonia,1350.53,2023-06-29
Congo DR,1350.11,2023-06-29
Iraq,1345.21,2023-06-29
Montenegro,1343.45,2023-06-29
United Arab Emirates,1336.28,2023-06-29
Oman,1332.45,2023-06-29
Uzbekistan,1327.58,2023-06-29
Israel,1323.81,2023-06-29
El Salvador,1317.64,2023-06-29
Bulgaria,1315.48,2023-06-29
Georgia,1312.8,2023-06-29
China PR,1304.78,2023-06-29
Guinea,1296.75,2023-06-29
Honduras,1296.42,2023-06-29
Jordan,1296.26,2023-06-29
Bolivia,1295.09,2023-06-29
Zambia,1290.2,2023-06-29
Gabon,1285.25,2023-06-29
Bahrain,1282.05,2023-06-29
Haiti,1275.96,2023-06-29
Curaçao,1267.87,2023-06-29
Luxembourg,1262.72,2023-06-29
Armenia,1252.6,2023-06-29
Equatorial Guinea,1251.83,2023-06-29
Uganda,1250.32,2023-06-29
Benin,1248.13,2023-06-29
Syria,1241.62,2023-06-29
Vietnam,1238.23,2023-06-29
Palestine,1233.02,2023-06-29
Kyrgyz Republic,1224.8,2023-06-29
Belarus,1212.28,2023-06-29
Mauritania,1205.18,2023-06-29
India,1204.9,2023-06-29
Trinidad and Tobago,1203.28,2023-06-29
Lebanon,1201.74,2023-06-29
New Zealand,1199.04,2023-06-29
Kazakhstan,1198.24,2023-06-29
Kenya,1191.07,2023-06-29
Congo,1190.63,2023-06-29
Madagascar,1186.09,2023-06-29
Kosovo,1179.69,2023-06-29
Tajikistan,1179.54,2023-06-29
Estonia,1179.3,2023-06-29
