team,datetime,competition,ranking,possession,total_shots,shots_on_target,big_chances,accurate_passes,accurate_passes_pc,fouls_committed,corners,blocked_shots,shots_inside_box,shots_outside_box,passes,passes_own_half,passes_opp_half,accurate_long_balls,accurate_long_balls_pc,accurate_crosses,accurate_crosses_pc,throws,offsides,yellow_cards,red_cards,tackles_won,tackles_won_pc,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_pc,aerial_duels_won,aerial_duels_won_pc,successful_dribbles,successful_dribbles_pc,game_id,touches_in_opposition_box,opp,tournament
Germany,2021-06-29 16:00:00+00:00,EURO Round of 16 2020,4,46.0,5.0,4.0,3.0,371.0,83.0,11.0,3.0,0.0,4.0,1.0,445.0,198.0,173.0,22.0,42.0,4.0,31.0,17.0,2.0,3.0,0.0,6.0,50.0,6.0,2.0,21.0,3.0,51.0,27.0,53.0,24.0,59.0,6.0,60.0,1001,,England,0
England,2021-06-29 16:00:00+00:00,EURO Round of 16 2020,16,54.0,9.0,3.0,2.0,443.0,84.0,9.0,3.0,2.0,5.0,4.0,528.0,296.0,147.0,16.0,31.0,2.0,15.0,14.0,2.0,2.0,0.0,5.0,45.0,6.0,0.0,13.0,2.0,41.0,24.0,47.0,17.0,41.0,2.0,20.0,1001,,Germany,0
Ukraine,2021-06-29 19:00:00+00:00,EURO Round of 16 2020,27,46.0,13.0,3.0,1.0,534.0,84.0,11.0,6.0,3.0,9.0,4.0,639.0,240.0,294.0,14.0,31.0,2.0,11.0,21.0,2.0,2.0,1.0,3.0,33.0,5.0,2.0,16.0,2.0,39.0,26.0,48.0,13.0,46.0,10.0,83.0,1002,,Sweden,0
Sweden,2021-06-29 19:00:00+00:00,EURO Round of 16 2020,22,54.0,15.0,4.0,3.0,660.0,86.0,7.0,2.0,2.0,11.0,4.0,765.0,328.0,332.0,39.0,49.0,5.0,29.0,26.0,3.0,2.0,0.0,5.0,38.0,13.0,3.0,25.0,2.0,43.0,28.0,52.0,15.0,54.0,4.0,57.0,1002,,Ukraine,0
Spain,2021-07-02 16:00:00+00:00,EURO Quarter-final 2020,19,28.0,8.0,2.0,1.0,261.0,71.0,15.0,9.0,2.0,6.0,2.0,369.0,164.0,97.0,35.0,43.0,5.0,31.0,13.0,4.0,2.0,1.0,17.0,52.0,12.0,9.0,27.0,10.0,68.0,54.0,64.0,14.0,42.0,8.0,67.0,1003,,Switzerland,0
Switzerland,2021-07-02 16:00:00+00:00,EURO Quarter-final 2020,8,72.0,28.0,10.0,3.0,880.0,91.0,14.0,13.0,10.0,22.0,6.0,969.0,341.0,539.0,38.0,70.0,13.0,41.0,29.0,2.0,1.0,0.0,6.0,50.0,9.0,2.0,13.0,1.0,50.0,31.0,36.0,19.0,58.0,5.0,28.0,1003,,Spain,0
Italy,2021-07-02 19:00:00+00:00,EURO Quarter-final 2020,3,46.0,10.0,4.0,2.0,373.0,83.0,16.0,9.0,5.0,5.0,5.0,448.0,212.0,161.0,27.0,55.0,2.0,11.0,18.0,1.0,1.0,0.0,10.0,59.0,10.0,4.0,13.0,2.0,60.0,42.0,55.0,18.0,69.0,13.0,68.0,1004,,Belgium,0
Belgium,2021-07-02 19:00:00+00:00,EURO Quarter-final 2020,9,54.0,14.0,3.0,3.0,470.0,88.0,13.0,5.0,4.0,8.0,6.0,533.0,167.0,303.0,37.0,64.0,4.0,40.0,15.0,2.0,2.0,0.0,5.0,33.0,8.0,6.0,18.0,2.0,43.0,35.0,45.0,8.0,31.0,5.0,38.0,1004,,Italy,0
Denmark,2021-07-03 16:00:00+00:00,EURO Quarter-final 2020,36,55.0,16.0,5.0,1.0,362.0,80.0,9.0,9.0,5.0,11.0,5.0,452.0,164.0,198.0,24.0,43.0,7.0,25.0,15.0,3.0,2.0,0.0,8.0,67.0,12.0,3.0,13.0,4.0,49.0,30.0,52.0,19.0,43.0,9.0,75.0,1005,,Czechia,0
Czechia,2021-07-03 16:00:00+00:00,EURO Quarter-final 2020,21,45.0,11.0,7.0,2.0,284.0,76.0,10.0,7.0,2.0,8.0,3.0,376.0,140.0,144.0,37.0,52.0,4.0,29.0,17.0,0.0,0.0,0.0,8.0,62.0,18.0,4.0,31.0,4.0,53.0,28.0,48.0,25.0,57.0,8.0,67.0,1005,,Denmark,0
