url,team,ranking,opp,opp_ranking,datetime,stadium,referee,attendance,competition,possession,opp_possession,venue_href,expected_goals_(xg),total_shots,shots_on_target,big_chances,big_chances_missed,accurate_passes,accurate_passes_pc,fouls_committed,corners,shots_off_target,blocked_shots,hit_woodwork,shots_inside_box,shots_outside_box,xg_open_play,xg_set_play,non-penalty_xg,xg_on_target_(xgot),passes,own_half,opposition_half,accurate_long_balls,accurate_long_balls_pc,accurate_crosses,accurate_crosses_pc,throws,touches_in_opposition_box,offsides,yellow_cards,red_cards,tackles_won,tackles_won_pc,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_pc,aerial_duels_won,aerial_duels_won_pc,successful_dribbles,successful_dribbles_pc,conc_expected_goals_(xg),conc_total_shots,conc_shots_on_target,conc_big_chances,conc_big_chances_missed,conc_accurate_passes,conc_accurate_passes_pc,conc_fouls_committed,conc_corners,conc_shots_off_target,conc_blocked_shots,conc_hit_woodwork,conc_shots_inside_box,conc_shots_outside_box,conc_xg_open_play,conc_xg_set_play,conc_non-penalty_xg,conc_xg_on_target_(xgot),conc_passes,conc_own_half,conc_opposition_half,conc_accurate_long_balls,conc_accurate_long_balls_pc,conc_accurate_crosses,conc_accurate_crosses_pc,conc_throws,conc_touches_in_opposition_box,conc_offsides,conc_yellow_cards,conc_red_cards,conc_tackles_won,conc_tackles_won_pc,conc_interceptions,conc_blocks,conc_clearances,conc_keeper_saves,conc_duels_won,conc_ground_duels_won,conc_ground_duels_won_pc,conc_aerial_duels_won,conc_aerial_duels_won_pc,conc_successful_dribbles,conc_successful_dribbles_pc,game_id
https://www.fotmob.com/en-GB/matches/panama-vs-usa/1bj4sz4377207,Panama,43,USA,11,2024-06-27T22:00:00.000Z,Mercedes-Benz Stadium,Iván Arcides Barton Cisneros,"59,145",Copa America Grp. C Round 2,74,26,"https://www.google.com/maps/?q=33.755406,-84.401075",0.77,13,4,1,0,465,86,19,3,2,7,0,6,7,0.71,0.06,0.77,0.93,540,169,296,23,51,6,29,19,27,2,3,1,3,50,4,0,17,2,40,18,40,22,61,8,80,1.08,6,3,1,1,114,59,4,0,3,0,1,6,0,0.75,0.33,1.08,1.22,192,71,43,15,23,4,44,19,13,3,2,1,5,71,7,7,17,2,41,27,60,14,39,3,50,1001
https://www.fotmob.com/en-GB/matches/panama-vs-usa/1bj4sz4377207,USA,11,Panama,43,2024-06-27T22:00:00.000Z,Mercedes-Benz Stadium,Iván Arcides Barton Cisneros,"59,145",Copa America Grp. C Round 2,26,74,"https://www.google.com/maps/?q=33.755406,-84.401075",1.08,6,3,1,1,114,59,4,0,3,0,1,6,0,0.75,0.33,1.08,1.22,192,71,43,15,23,4,44,19,13,3,2,1,5,71,7,7,17,2,41,27,60,14,39,3,50,0.77,13,4,1,0,465,86,19,3,2,7,0,6,7,0.71,0.06,0.77,0.93,540,169,296,23,51,6,29,19,27,2,3,1,3,50,4,0,17,2,40,18,40,22,61,8,80,1001
https://www.fotmob.com/en-GB/matches/peru-vs-argentina/1aju7y4377172,Argentina,1,Peru,31,2024-06-30T00:00:00.000Z,Hard Rock Stadium,César Arturo Ramos Palazuelos,"64,972",Copa America Grp. A Round 3,74,26,"https://www.google.com/maps/?q=25.957919,-80.238841",2.29,12,6,4,2,561,89,11,6,4,2,1,10,2,1.41,0.10,1.50,1.11,627,381,180,26,60,3,30,18,21,3,1,0,12,71,7,1,14,1,48,38,58,10,56,4,36,0.14,6,1,0,0,150,72,20,3,3,2,1,2,4,0.09,0.05,0.14,0.09,209,67,83,13,36,6,46,23,12,1,5,0,10,77,11,2,6,4,35,27,42,8,44,3,21,1002
https://www.fotmob.com/en-GB/matches/peru-vs-argentina/1aju7y4377172,Peru,31,Argentina,1,2024-06-30T00:00:00.000Z,Hard Rock Stadium,César Arturo Ramos Palazuelos,"64,972",Copa America Grp. A Round 3,26,74,"https://www.google.com/maps/?q=25.957919,-80.238841",0.14,6,1,0,0,150,72,20,3,3,2,1,2,4,0.09,0.05,0.14,0.09,209,67,83,13,36,6,46,23,12,1,5,0,10,77,11,2,6,4,35,27,42,8,44,3,21,2.29,12,6,4,2,561,89,11,6,4,2,1,10,2,1.41,0.10,1.50,1.11,627,381,180,26,60,3,30,18,21,3,1,0,12,71,7,1,14,1,48,38,58,10,56,4,36,1002
https://www.fotmob.com/en-GB/matches/bolivia-vs-panama/14w19a4377208,Bolivia,84,Panama,43,2024-07-02T01:00:00.000Z,Inter&Co Stadium,Edina Alves Batista,"16,129",Copa America Grp. C Round 3,51,49,"https://www.google.com/maps/?q=28.541118,-81.389311",0.72,7,4,2,1,373,83,17,2,2,1,0,5,2,0.72,0.00,0.72,0.94,447,260,113,21,44,2,33,17,11,4,2,0,10,67,8,2,21,3,44,28,38,16,55,6,55,1.23,13,6,2,1,336,82,8,1,5,2,0,10,3,1.20,0.03,1.23,2.14,409,180,156,39,57,3,16,17,24,0,1,0,10,67,10,2,12,2,58,45,62,13,45,14,82,1003
https://www.fotmob.com/en-GB/matches/bolivia-vs-panama/14w19a4377208,Panama,43,Bolivia,84,2024-07-02T01:00:00.000Z,Inter&Co Stadium,Edina Alves Batista,"16,129",Copa America Grp. C Round 3,49,51,"https://www.google.com/maps/?q=28.541118,-81.389311",1.23,13,6,2,1,336,82,8,1,5,2,0,10,3,1.20,0.03,1.23,2.14,409,180,156,39,57,3,16,17,24,0,1,0,10,67,10,2,12,2,58,45,62,13,45,14,82,0.72,7,4,2,1,373,83,17,2,2,1,0,5,2,0.72,0.00,0.72,0.94,447,260,113,21,44,2,33,17,11,4,2,0,10,67,8,2,21,3,44,28,38,16,55,6,55,1003
https://www.fotmob.com/en-GB/matches/spain-vs-italy/1ub88q2767870,Italy,10,Spain,8,2021-07-06T19:00:00.000Z,Wembley Stadium,Felix Brych,"57,811",EURO Semi-final 2020,30,70,"https://www.google.com/maps/?q=51.555855,-0.279593",0.56,7,4,1,1,287,74,17,1,2,1,1,5,2,0.56,0.00,0.56,1.32,387,194,93,23,37,0,0,28,,8,2,0,8,47,24,5,21,3,46,36,49,10,50,2,25,1.62,16,5,3,2,805,89,18,6,7,4,0,7,9,1.49,0.13,1.62,1.46,908,395,410,39,60,1,5,22,,1,1,0,12,80,13,1,11,3,48,38,51,10,50,6,75,1004
https://www.fotmob.com/en-GB/matches/spain-vs-italy/1ub88q2767870,Spain,8,Italy,10,2021-07-06T19:00:00.000Z,Wembley Stadium,Felix Brych,"57,811",EURO Semi-final 2020,70,30,"https://www.google.com/maps/?q=51.555855,-0.279593",1.62,16,5,3,2,805,89,18,6,7,4,0,7,9,1.49,0.13,1.62,1.46,908,395,410,39,60,1,5,22,,1,1,0,12,80,13,1,11,3,48,38,51,10,50,6,75,0.56,7,4,1,1,287,74,17,1,2,1,1,5,2,0.56,0.00,0.56,1.32,387,194,93,23,37,0,0,28,,8,2,0,8,47,24,5,21,3,46,36,49,10,50,2,25,1004
https://www.fotmob.com/en-GB/matches/sweden-vs-poland/2exnfc3230666,Sweden,28,Poland,26,2021-06-23T16:00:00.000Z,Saint-Petersburg Stadium,Michael Oliver,"14,252",EURO Grp. E Round 3 2020,33,67,"https://www.google.com/maps/?q=59.972956,30.220755",1.06,11,4,2,0,141,56,13,6,4,3,0,6,5,1.00,0.06,1.06,1.86,252,52,89,14,20,2,15,23,,0,1,0,7,58,9,6,42,4,55,30,54,25,41,6,67,2.03,18,6,3,2,387,80,13,10,6,6,2,10,8,1.37,0.66,2.03,2.52,482,192,195,25,45,9,19,25,,1,2,0,4,44,8,3,20,1,62,26,46,36,59,6,50,1005
https://www.fotmob.com/en-GB/matches/sweden-vs-poland/2exnfc3230666,Poland,26,Sweden,28,2021-06-23T16:00:00.000Z,Saint-Petersburg Stadium,Michael Oliver,"14,252",EURO Grp. E Round 3 2020,67,33,"https://www.google.com/maps/?q=59.972956,30.220755",2.03,18,6,3,2,387,80,13,10,6,6,2,10,8,1.37,0.66,2.03,2.52,482,192,195,25,45,9,19,25,,1,2,0,4,44,8,3,20,1,62,26,46,36,59,6,50,1.06,11,4,2,0,141,56,13,6,4,3,0,6,5,1.00,0.06,1.06,1.86,252,52,89,14,20,2,15,23,,0,1,0,7,58,9,6,42,4,55,30,54,25,41,6,67,1005
