opp,datetime,stadium,attribute_3,attribute_4,competition,ranking,possession,expected_goals_(xg),total_shots,shots_on_target,big_chances,big_chances_missed,accurate_passes,accurate_passes_pc,fouls_committed,corners,shots_off_target,blocked_shots,hit_woodwork,shots_inside_box,shots_outside_box,xg_open_play,xg_set_play,non-penalty_xg,xg_on_target_(xgot),passes,own_half,opposition_half,accurate_long_balls,accurate_long_balls_pc,accurate_crosses,accurate_crosses_pc,throws,offsides,yellow_cards,red_cards,tackles_won,tackles_won_pc,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_pc,aerial_duels_won,aerial_duels_won_pc,successful_dribbles,successful_dribbles_pc,game_id,touches_in_opposition_box,team,opp_ranking,opp_possession,conc_expected_goals_(xg),conc_total_shots,conc_shots_on_target,conc_big_chances,conc_big_chances_missed,conc_accurate_passes,conc_accurate_passes_pc,conc_fouls_committed,conc_corners,conc_shots_off_target,conc_blocked_shots,conc_hit_woodwork,conc_shots_inside_box,conc_shots_outside_box,conc_xg_open_play,conc_xg_set_play,conc_non-penalty_xg,conc_xg_on_target_(xgot),conc_passes,conc_own_half,conc_opposition_half,conc_accurate_long_balls,conc_accurate_long_balls_pc,conc_accurate_crosses,conc_accurate_crosses_pc,conc_throws,conc_touches_in_opposition_box,conc_offsides,conc_yellow_cards,conc_red_cards,conc_tackles_won,conc_tackles_won_pc,conc_interceptions,conc_blocks,conc_clearances,conc_keeper_saves,conc_duels_won,conc_ground_duels_won,conc_ground_duels_won_pc,conc_aerial_duels_won,conc_aerial_duels_won_pc,conc_successful_dribbles,conc_successful_dribbles_pc
Saudi Arabia,2018-06-14T15:00:00.000Z,Luzhniki,Nestor Pitana,"78,011",FIFA World Cup Round 1,35,39.0,,14,7,3.0,0.0,251,73.0,22,6,3.0,4.0,0.0,11.0,3.0,,,,,345,100.0,151.0,39.0,58.0,3.0,20.0,29.0,3,1.0,0.0,15.0,63.0,11.0,3.0,16.0,0.0,82.0,45.0,46.0,37.0,74.0,12.0,86.0,1052,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,2018-06-14T15:00:00.000Z,Luzhniki,Nestor Pitana,"78,011",FIFA World Cup Round 1,53,61.0,,6,0,0.0,0.0,451,81.0,10,2,3.0,3.0,0.0,4.0,2.0,,,,,557,251.0,200.0,38.0,44.0,1.0,17.0,30.0,1,1.0,0.0,18.0,75.0,8.0,4.0,21.0,2.0,65.0,52.0,54.0,13.0,26.0,7.0,35.0,1052,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,2018-06-15T12:00:00.000Z,Ekaterinburg Arena,Bjorn Kuipers,"27,015",FIFA World Cup Round 1 2018,37,41.0,,8,3,0.0,0.0,313,74.0,12,0,3.0,2.0,0.0,4.0,4.0,,,,,424,141.0,172.0,20.0,32.0,2.0,18.0,25.0,1,2.0,0.0,11.0,48.0,22.0,3.0,18.0,4.0,45.0,33.0,44.0,12.0,32.0,4.0,40.0,1056,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,2018-06-15T12:00:00.000Z,Ekaterinburg Arena,Bjorn Kuipers,"27,015",FIFA World Cup Round 1 2018,15,59.0,,15,5,4.0,4.0,503,86.0,6,5,6.0,4.0,1.0,8.0,7.0,,,,,588,238.0,265.0,39.0,64.0,6.0,27.0,18.0,1,0.0,0.0,12.0,63.0,29.0,2.0,17.0,3.0,67.0,42.0,56.0,25.0,68.0,11.0,69.0,1056,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,2018-06-15T15:00:00.000Z,New Zenit Stadium,Cuneyt Cakir,"62,548",FIFA World Cup Round 1 2018,13,68.0,,13,3,0.0,0.0,374,81.0,22,5,6.0,4.0,0.0,9.0,4.0,,,,,461,219.0,155.0,23.0,39.0,3.0,20.0,19.0,0,1.0,0.0,7.0,70.0,4.0,1.0,17.0,2.0,57.0,32.0,41.0,25.0,58.0,10.0,50.0,1053,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,2018-06-15T15:00:00.000Z,New Zenit Stadium,Cuneyt Cakir,"62,548",FIFA World Cup Round 1 2018,20,32.0,,9,2,1.0,1.0,127,58.0,14,2,6.0,1.0,0.0,5.0,4.0,,,,,218,68.0,59.0,19.0,30.0,0.0,0.0,29.0,0,3.0,0.0,10.0,50.0,11.0,4.0,26.0,3.0,65.0,47.0,59.0,18.0,42.0,8.0,80.0,1053,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,2018-06-15T18:00:00.000Z,Fisht Olympic Stadium,Gianluca Rocchi,"43,866",FIFA World Cup Round 1 2018,6,34.0,,9,3,1.0,0.0,307,83.0,12,4,3.0,3.0,0.0,3.0,6.0,,,,,372,144.0,163.0,38.0,58.0,4.0,31.0,18.0,1,1.0,0.0,9.0,60.0,5.0,2.0,8.0,3.0,49.0,32.0,46.0,17.0,61.0,7.0,58.0,1054,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,2018-06-15T18:00:00.000Z,Fisht Olympic Stadium,Gianluca Rocchi,"43,866",FIFA World Cup Round 1 2018,8,66.0,,13,6,1.0,0.0,700,92.0,10,5,5.0,2.0,1.0,9.0,4.0,,,,,759,313.0,387.0,25.0,60.0,3.0,23.0,21.0,3,1.0,0.0,10.0,77.0,10.0,3.0,9.0,0.0,49.0,38.0,54.0,11.0,39.0,14.0,64.0,1054,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,2018-06-16T10:00:00.000Z,Kazan Arena,Andres Cunha,"41,279",FIFA World Cup Round 1 2018,2,55.0,,12,5,1.0,0.0,426,84.0,16,5,5.0,2.0,1.0,6.0,6.0,,,,,508,182.0,244.0,42.0,67.0,2.0,13.0,30.0,0,1.0,0.0,11.0,73.0,5.0,2.0,22.0,1.0,54.0,40.0,48.0,14.0,52.0,8.0,47.0,1057,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2018-06-16T10:00:00.000Z,Kazan Arena,Andres Cunha,"41,279",FIFA World Cup Round 1 2018,24,45.0,,6,1,1.0,0.0,321,79.0,19,1,3.0,2.0,0.0,4.0,2.0,,,,,407,222.0,99.0,22.0,37.0,3.0,33.0,16.0,0,3.0,0.0,13.0,54.0,8.0,2.0,43.0,4.0,56.0,43.0,52.0,13.0,48.0,5.0,63.0,1057,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,2018-06-16T13:00:00.000Z,Otkrytiye Arena,Szymon Marciniak,"44,190",FIFA World Cup Round 1 2018,1,78.0,,27,7,1.0,1.0,673,89.0,10,10,10.0,10.0,0.0,12.0,15.0,,,,,752,203.0,470.0,20.0,57.0,8.0,33.0,16.0,0,0.0,0.0,10.0,77.0,5.0,1.0,24.0,1.0,65.0,43.0,53.0,22.0,51.0,17.0,74.0,1058,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2018-06-16T13:00:00.000Z,Otkrytiye Arena,Szymon Marciniak,"44,190",FIFA World Cup Round 1 2018,72,22.0,,8,2,2.0,1.0,132,63.0,15,2,5.0,1.0,0.0,5.0,3.0,,,,,209,58.0,74.0,17.0,29.0,2.0,22.0,12.0,0,0.0,0.0,11.0,52.0,23.0,9.0,36.0,6.0,59.0,38.0,47.0,21.0,49.0,9.0,64.0,1058,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
