team,datetime,competition,ranking,possession,total_shots,shots_on_target,big_chances,accurate_passes,accurate_passes_pc,fouls_committed,corners,blocked_shots,shots_inside_box,shots_outside_box,passes,passes_own_half,passes_opp_half,accurate_long_balls,accurate_long_balls_pc,accurate_crosses,accurate_crosses_pc,throws,offsides,yellow_cards,red_cards,tackles_won,tackles_won_pc,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_pc,aerial_duels_won,aerial_duels_won_pc,successful_dribbles,successful_dribbles_pc,game_id,touches_in_opposition_box,opp,tournament,team_id,opp_id,avg_total_shots,avg_shots_on_target,avg_big_chances,avg_accurate_passes,avg_accurate_passes_pc,avg_fouls_committed,avg_corners,avg_blocked_shots,avg_shots_inside_box,avg_shots_outside_box,avg_passes,avg_passes_own_half,avg_passes_opp_half,avg_accurate_long_balls,avg_accurate_long_balls_pc,avg_accurate_crosses,avg_accurate_crosses_pc,avg_throws,avg_touches_in_opposition_box,avg_offsides,avg_yellow_cards,avg_red_cards,avg_tackles_won,avg_tackles_won_pc,avg_interceptions,avg_blocks,avg_clearances,avg_keeper_saves,avg_duels_won,avg_ground_duels_won,avg_ground_duels_won_pc,avg_aerial_duels_won,avg_aerial_duels_won_pc,avg_successful_dribbles,avg_successful_dribbles_pc,avg_possession,opp_ranking,opp_avg_total_shots,opp_avg_shots_on_target,opp_avg_big_chances,opp_avg_accurate_passes,opp_avg_accurate_passes_pc,opp_avg_fouls_committed,opp_avg_corners,opp_avg_blocked_shots,opp_avg_shots_inside_box,opp_avg_shots_outside_box,opp_avg_passes,opp_avg_passes_own_half,opp_avg_passes_opp_half,opp_avg_accurate_long_balls,opp_avg_accurate_long_balls_pc,opp_avg_accurate_crosses,opp_avg_accurate_crosses_pc,opp_avg_throws,opp_avg_touches_in_opposition_box,opp_avg_offsides,opp_avg_yellow_cards,opp_avg_red_cards,opp_avg_tackles_won,opp_avg_tackles_won_pc,opp_avg_interceptions,opp_avg_blocks,opp_avg_clearances,opp_avg_keeper_saves,opp_avg_duels_won,opp_avg_ground_duels_won,opp_avg_ground_duels_won_pc,opp_avg_aerial_duels_won,opp_avg_aerial_duels_won_pc,opp_avg_successful_dribbles,opp_avg_successful_dribbles_pc,opp_avg_possession,rank_diff,avg_TI_adj_opp_quality,avg_TI_adj_rank_diff,avg_throw_ins_adj_opp_poss
Saudi Arabia,2018-06-14 15:00:00+00:00,World Cup,35,39.0,14.0,7.0,3.0,251.0,73.0,22.0,6.0,4.0,11.0,3.0,345.0,100.0,151.0,39.0,58.0,3.0,20.0,29.0,3.0,1.0,0.0,15.0,63.0,11.0,3.0,16.0,0.0,82.0,45.0,46.0,37.0,74.0,12.0,86.0,1052,28.0,Russia,1,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18,,,
Russia,2018-06-14 15:00:00+00:00,World Cup,53,61.0,6.0,0.0,0.0,451.0,81.0,10.0,2.0,3.0,4.0,2.0,557.0,251.0,200.0,38.0,44.0,1.0,17.0,30.0,1.0,1.0,0.0,18.0,75.0,8.0,4.0,21.0,2.0,65.0,52.0,54.0,13.0,26.0,7.0,35.0,1052,6.0,Saudi Arabia,1,23,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,
Egypt,2018-06-15 12:00:00+00:00,World Cup,15,59.0,15.0,5.0,4.0,503.0,86.0,6.0,5.0,4.0,8.0,7.0,588.0,238.0,265.0,39.0,64.0,6.0,27.0,18.0,1.0,0.0,0.0,12.0,63.0,29.0,2.0,17.0,3.0,67.0,42.0,56.0,25.0,68.0,11.0,69.0,1056,28.0,Uruguay,1,30,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22,30.0,29.0,
Uruguay,2018-06-15 12:00:00+00:00,World Cup,37,41.0,8.0,3.0,0.0,313.0,74.0,12.0,0.0,2.0,4.0,4.0,424.0,141.0,172.0,20.0,32.0,2.0,18.0,25.0,1.0,2.0,0.0,11.0,48.0,22.0,3.0,18.0,4.0,45.0,33.0,44.0,12.0,32.0,4.0,40.0,1056,14.0,Egypt,1,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,30.0,
Morocco,2018-06-15 15:00:00+00:00,World Cup,20,32.0,9.0,2.0,1.0,127.0,58.0,14.0,2.0,1.0,5.0,4.0,218.0,68.0,59.0,19.0,30.0,0.0,0.0,29.0,0.0,3.0,0.0,10.0,50.0,11.0,4.0,26.0,3.0,65.0,47.0,59.0,18.0,42.0,8.0,80.0,1053,10.0,Iran,1,27,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,25.0,,
Iran,2018-06-15 15:00:00+00:00,World Cup,13,68.0,13.0,3.0,0.0,374.0,81.0,22.0,5.0,4.0,9.0,4.0,461.0,219.0,155.0,23.0,39.0,3.0,20.0,19.0,0.0,1.0,0.0,7.0,70.0,4.0,1.0,17.0,2.0,57.0,32.0,41.0,25.0,58.0,10.0,50.0,1053,21.0,Morocco,1,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7,25.0,,
Spain,2018-06-15 18:00:00+00:00,World Cup,6,34.0,9.0,3.0,1.0,307.0,83.0,12.0,4.0,3.0,3.0,6.0,372.0,144.0,163.0,38.0,58.0,4.0,31.0,18.0,1.0,1.0,0.0,9.0,60.0,5.0,2.0,8.0,3.0,49.0,32.0,46.0,17.0,61.0,7.0,58.0,1054,15.0,Portugal,1,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,29.0,19.0,
Portugal,2018-06-15 18:00:00+00:00,World Cup,8,66.0,13.0,6.0,1.0,700.0,92.0,10.0,5.0,2.0,9.0,4.0,759.0,313.0,387.0,25.0,60.0,3.0,23.0,21.0,3.0,1.0,0.0,10.0,77.0,10.0,3.0,9.0,0.0,49.0,38.0,54.0,11.0,39.0,14.0,64.0,1054,22.0,Spain,1,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,29.0,
Australia,2018-06-16 10:00:00+00:00,World Cup,2,55.0,12.0,5.0,1.0,426.0,84.0,16.0,5.0,2.0,6.0,6.0,508.0,182.0,244.0,42.0,67.0,2.0,13.0,30.0,0.0,1.0,0.0,11.0,73.0,5.0,2.0,22.0,1.0,54.0,40.0,48.0,14.0,52.0,8.0,47.0,1057,16.0,France,1,31,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22,19.0,23.5,
France,2018-06-16 10:00:00+00:00,World Cup,24,45.0,6.0,1.0,1.0,321.0,79.0,19.0,1.0,2.0,4.0,2.0,407.0,222.0,99.0,22.0,37.0,3.0,33.0,16.0,0.0,3.0,0.0,13.0,54.0,8.0,2.0,43.0,4.0,56.0,43.0,52.0,13.0,48.0,5.0,63.0,1057,8.0,Australia,1,14,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,19.5,27.5,
