opp,datetime,competition,ranking,possession,total_shots,shots_on_target,big_chances,accurate_passes,accurate_passes_pc,fouls_committed,corners,blocked_shots,shots_inside_box,shots_outside_box,passes,passes_own_half,passes_opp_half,accurate_long_balls,accurate_long_balls_pc,accurate_crosses,accurate_crosses_pc,throws,offsides,yellow_cards,red_cards,tackles_won,tackles_won_pc,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_pc,aerial_duels_won,aerial_duels_won_pc,successful_dribbles,successful_dribbles_pc,game_id,touches_in_opposition_box,team,opp_ranking,tournament,division,total_tackles,team_id,opp_id,avg_accurate_passes,avg_accurate_passes_pc,avg_fouls_committed,avg_corners,avg_blocked_shots,avg_passes,avg_passes_own_half,avg_passes_opp_half,avg_accurate_long_balls,avg_accurate_long_balls_pc,avg_accurate_crosses,avg_accurate_crosses_pc,avg_throws,avg_yellow_cards,avg_red_cards,avg_tackles_won,avg_tackles_won_pc,avg_interceptions,avg_blocks,avg_clearances,avg_duels_won,avg_ground_duels_won,avg_ground_duels_won_pc,avg_aerial_duels_won,avg_aerial_duels_won_pc,avg_successful_dribbles,avg_successful_dribbles_pc,avg_possession,avg_total_tackles,opp_avg_accurate_passes,opp_avg_accurate_passes_pc,opp_avg_fouls_committed,opp_avg_corners,opp_avg_blocked_shots,opp_avg_passes,opp_avg_passes_own_half,opp_avg_passes_opp_half,opp_avg_accurate_long_balls,opp_avg_accurate_long_balls_pc,opp_avg_accurate_crosses,opp_avg_accurate_crosses_pc,opp_avg_throws,opp_avg_yellow_cards,opp_avg_red_cards,opp_avg_tackles_won,opp_avg_tackles_won_pc,opp_avg_interceptions,opp_avg_blocks,opp_avg_clearances,opp_avg_duels_won,opp_avg_ground_duels_won,opp_avg_ground_duels_won_pc,opp_avg_aerial_duels_won,opp_avg_aerial_duels_won_pc,opp_avg_successful_dribbles,opp_avg_successful_dribbles_pc,opp_avg_possession,opp_avg_total_tackles,rank_diff,rolling_avg_accurate_passes,rolling_avg_accurate_passes_pc,rolling_avg_fouls_committed,rolling_avg_corners,rolling_avg_blocked_shots,rolling_avg_passes,rolling_avg_passes_own_half,rolling_avg_passes_opp_half,rolling_avg_accurate_long_balls,rolling_avg_accurate_long_balls_pc,rolling_avg_accurate_crosses,rolling_avg_accurate_crosses_pc,rolling_avg_throws,rolling_avg_yellow_cards,rolling_avg_red_cards,rolling_avg_tackles_won,rolling_avg_tackles_won_pc,rolling_avg_interceptions,rolling_avg_blocks,rolling_avg_clearances,rolling_avg_duels_won,rolling_avg_ground_duels_won,rolling_avg_ground_duels_won_pc,rolling_avg_aerial_duels_won,rolling_avg_aerial_duels_won_pc,rolling_avg_successful_dribbles,rolling_avg_successful_dribbles_pc,rolling_avg_possession,rolling_avg_total_tackles,avg_team_div_accurate_passes,avg_team_div_accurate_passes_pc,avg_team_div_fouls_committed,avg_team_div_corners,avg_team_div_blocked_shots,avg_team_div_passes,avg_team_div_passes_own_half,avg_team_div_passes_opp_half,avg_team_div_accurate_long_balls,avg_team_div_accurate_long_balls_pc,avg_team_div_accurate_crosses,avg_team_div_accurate_crosses_pc,avg_team_div_throws,avg_team_div_yellow_cards,avg_team_div_red_cards,avg_team_div_tackles_won,avg_team_div_tackles_won_pc,avg_team_div_interceptions,avg_team_div_blocks,avg_team_div_clearances,avg_team_div_duels_won,avg_team_div_ground_duels_won,avg_team_div_ground_duels_won_pc,avg_team_div_aerial_duels_won,avg_team_div_aerial_duels_won_pc,avg_team_div_successful_dribbles,avg_team_div_successful_dribbles_pc,avg_team_div_possession,avg_team_div_total_tackles,avg_TI_adj_opp_quality,avg_TI_adj_rank_diff,avg_throw_ins_adj_opp_poss
Saudi Arabia,2018-06-14 15:00:00+00:00,world cup,35,39.0,14,7,3.0,251.0,73.0,22.0,6.0,4.0,11.0,3.0,345.0,100.0,151.0,39.0,58.0,3.0,20.0,29.0,3,1.0,0.0,15.0,63.0,11.0,3.0,16.0,0.0,82.0,45.0,46.0,37.0,74.0,12.0,86.0,1052,28.0,Russia,53.0,1,6,23.80952380952381,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.5,75.5,14.5,4.5,1.5,388.5,113.5,179.0,25.5,45.0,4.0,19.0,21.5,1.0,0.5,8.0,52.5,15.0,3.5,23.0,62.5,33.5,50.5,29.0,60.5,7.5,60.0,45.5,13.97224306076519,,,
Russia,2018-06-14 15:00:00+00:00,world cup,53,61.0,6,0,0.0,451.0,81.0,10.0,2.0,3.0,4.0,2.0,557.0,251.0,200.0,38.0,44.0,1.0,17.0,30.0,1,1.0,0.0,18.0,75.0,8.0,4.0,21.0,2.0,65.0,52.0,54.0,13.0,26.0,7.0,35.0,1052,6.0,Saudi Arabia,35.0,1,6,24.0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.2,77.6,15.2,3.8,2.4,458.0,150.6,222.6,28.8,49.6,2.8,18.2,19.4,2.8,0.0,7.8,50.8,9.4,3.4,18.8,47.0,34.2,49.0,12.8,47.6,6.8,46.2,50.2,15.592239857007494,,,
Egypt,2018-06-15 12:00:00+00:00,world cup,15,59.0,15,5,4.0,503.0,86.0,6.0,5.0,4.0,8.0,7.0,588.0,238.0,265.0,39.0,64.0,6.0,27.0,18.0,1,0.0,0.0,12.0,63.0,29.0,2.0,17.0,3.0,67.0,42.0,56.0,25.0,68.0,11.0,69.0,1056,28.0,Uruguay,37.0,1,6,19.047619047619047,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.5,75.0,14.0,2.8333333333333335,1.8333333333333333,402.1666666666667,151.33333333333334,157.16666666666666,25.166666666666668,45.5,3.8333333333333335,30.166666666666668,21.5,1.6666666666666667,0.0,9.833333333333334,56.666666666666664,12.0,3.0,16.5,52.0,36.666666666666664,48.833333333333336,15.333333333333334,45.5,5.666666666666667,63.0,44.5,17.635813501389936,30.0,29.0,
Uruguay,2018-06-15 12:00:00+00:00,world cup,37,41.0,8,3,0.0,313.0,74.0,12.0,0.0,2.0,4.0,4.0,424.0,141.0,172.0,20.0,32.0,2.0,18.0,25.0,1,2.0,0.0,11.0,48.0,22.0,3.0,18.0,4.0,45.0,33.0,44.0,12.0,32.0,4.0,40.0,1056,14.0,Egypt,15.0,1,6,22.916666666666668,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.5,79.0,13.0,3.0,2.5,399.5,158.0,157.5,26.5,45.5,3.5,16.5,22.5,1.5,0.0,9.5,72.0,16.5,3.5,27.0,45.0,28.0,42.5,17.0,44.5,6.5,57.0,43.5,12.96875,,30.0,
Morocco,2018-06-15 15:00:00+00:00,world cup,20,32.0,9,2,1.0,127.0,58.0,14.0,2.0,1.0,5.0,4.0,218.0,68.0,59.0,19.0,30.0,0.0,0.0,29.0,0,3.0,0.0,10.0,50.0,11.0,4.0,26.0,3.0,65.0,47.0,59.0,18.0,42.0,8.0,80.0,1053,10.0,Iran,13.0,1,6,20.0,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.6,67.6,13.6,2.2,2.2,281.6,105.4,90.2,23.6,37.0,2.6,18.8,16.8,2.2,0.0,9.8,58.8,15.0,4.0,22.8,47.6,32.6,48.2,15.0,45.6,5.6,52.4,31.6,17.214419446238345,25.0,,
Iran,2018-06-15 15:00:00+00:00,world cup,13,68.0,13,3,0.0,374.0,81.0,22.0,5.0,4.0,9.0,4.0,461.0,219.0,155.0,23.0,39.0,3.0,20.0,19.0,0,1.0,0.0,7.0,70.0,4.0,1.0,17.0,2.0,57.0,32.0,41.0,25.0,58.0,10.0,50.0,1053,21.0,Morocco,20.0,1,6,10.0,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.375,79.625,15.125,2.5,2.25,382.0,188.25,120.125,24.0,50.125,3.125,25.875,17.5,1.625,0.125,11.0,63.25,10.0,2.625,18.25,49.25,36.625,47.5,12.625,49.25,8.25,47.25,40.75,17.58468740988463,25.0,,
Spain,2018-06-15 18:00:00+00:00,world cup,6,34.0,9,3,1.0,307.0,83.0,12.0,4.0,3.0,3.0,6.0,372.0,144.0,163.0,38.0,58.0,4.0,31.0,18.0,1,1.0,0.0,9.0,60.0,5.0,2.0,8.0,3.0,49.0,32.0,46.0,17.0,61.0,7.0,58.0,1054,15.0,Portugal,8.0,1,6,15.0,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.125,84.375,12.25,6.0,4.125,557.375,224.25,247.875,34.125,55.25,5.625,26.75,18.75,1.5,0.0,9.75,65.5,7.125,1.875,13.75,53.0,36.0,53.0,17.0,54.25,7.625,55.75,61.25,14.72692674904725,29.0,19.0,
Portugal,2018-06-15 18:00:00+00:00,world cup,8,66.0,13,6,1.0,700.0,92.0,10.0,5.0,2.0,9.0,4.0,759.0,313.0,387.0,25.0,60.0,3.0,23.0,21.0,3,1.0,0.0,10.0,77.0,10.0,3.0,9.0,0.0,49.0,38.0,54.0,11.0,39.0,14.0,64.0,1054,22.0,Spain,6.0,1,6,12.987012987012989,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773.8,90.4,9.2,5.2,3.6,851.2,328.0,445.8,37.6,73.2,3.0,17.4,22.6,0.2,0.0,8.0,62.6,6.0,1.0,8.0,45.0,33.6,51.2,11.4,49.6,8.4,49.4,76.2,12.985906847664785,,29.0,
France,2018-06-16 10:00:00+00:00,world cup,24,45.0,6,1,1.0,321.0,79.0,19.0,1.0,2.0,4.0,2.0,407.0,222.0,99.0,22.0,37.0,3.0,33.0,16.0,0,3.0,0.0,13.0,54.0,8.0,2.0,43.0,4.0,56.0,43.0,52.0,13.0,48.0,5.0,63.0,1057,8.0,Australia,2.0,1,6,24.074074074074073,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.5,78.33333333333333,11.833333333333334,3.5,2.6666666666666665,426.6666666666667,201.5,139.0,27.0,47.0,3.6666666666666665,20.333333333333332,24.666666666666668,1.8333333333333333,0.0,7.5,57.0,9.333333333333334,3.3333333333333335,21.5,48.333333333333336,28.166666666666668,44.166666666666664,20.166666666666668,52.333333333333336,6.833333333333333,41.166666666666664,43.333333333333336,13.161755670594458,19.5,27.5,
Australia,2018-06-16 10:00:00+00:00,world cup,2,55.0,12,5,1.0,426.0,84.0,16.0,5.0,2.0,6.0,6.0,508.0,182.0,244.0,42.0,67.0,2.0,13.0,30.0,0,1.0,0.0,11.0,73.0,5.0,2.0,22.0,1.0,54.0,40.0,48.0,14.0,52.0,8.0,47.0,1057,16.0,France,24.0,1,6,15.068493150684931,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.25,82.41666666666667,10.5,4.083333333333333,3.25,473.0833333333333,177.75,217.5,28.666666666666668,52.25,4.75,31.333333333333332,18.916666666666668,1.3333333333333333,0.0,11.833333333333334,65.83333333333333,11.166666666666666,2.4166666666666665,20.083333333333332,58.333333333333336,40.5,54.083333333333336,17.833333333333332,55.583333333333336,10.083333333333334,58.833333333333336,49.666666666666664,18.410907494876437,19.0,23.5,
