opp,datetime,stadium,attribute_3,attribute_4,competition,ranking,possession,expected_goals_(xg),total_shots,shots_on_target,big_chances,big_chances_missed,accurate_passes,accurate_passes_pc,fouls_committed,corners,shots_off_target,blocked_shots,hit_woodwork,shots_inside_box,shots_outside_box,xg_open_play,xg_set_play,non-penalty_xg,xg_on_target_(xgot),passes,own_half,opposition_half,accurate_long_balls,accurate_long_balls_pc,accurate_crosses,accurate_crosses_pc,throws,offsides,yellow_cards,red_cards,tackles_won,tackles_won_pc,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_pc,aerial_duels_won,aerial_duels_won_pc,successful_dribbles,successful_dribbles_pc,game_id,url,team,opp_ranking,opp_possession,touches_in_opposition_box,conc_expected_goals_(xg),conc_total_shots,conc_shots_on_target,conc_big_chances,conc_big_chances_missed,conc_accurate_passes,conc_accurate_passes_pc,conc_fouls_committed,conc_corners,conc_shots_off_target,conc_blocked_shots,conc_hit_woodwork,conc_shots_inside_box,conc_shots_outside_box,conc_xg_open_play,conc_xg_set_play,conc_non-penalty_xg,conc_xg_on_target_(xgot),conc_passes,conc_own_half,conc_opposition_half,conc_accurate_long_balls,conc_accurate_long_balls_pc,conc_accurate_crosses,conc_accurate_crosses_pc,conc_throws,conc_touches_in_opposition_box,conc_offsides,conc_yellow_cards,conc_red_cards,conc_tackles_won,conc_tackles_won_pc,conc_interceptions,conc_blocks,conc_clearances,conc_keeper_saves,conc_duels_won,conc_ground_duels_won,conc_ground_duels_won_pc,conc_aerial_duels_won,conc_aerial_duels_won_pc,conc_successful_dribbles,conc_successful_dribbles_pc
Canada,2024-06-21T00:00:00.000Z,Mercedes-Benz Stadium,Jesús Valenzuela Sáez,"70,564",Copa America Grp. A Round 1,1,64,3.02,19,9,9,7,547,91,15,7,7,3,0,15,4,2.39,0.64,3.02,2.95,604,344,203,35,69,3,30,23,1,2,0,14,74,8,4,10,2,40,34,43,6,60,6,29,1052,https://www.fotmob.com/en-GB/matches/canada-vs-argentina/1an224#4407860,Argentina,48,36,37,1.16,10,2,2,2,265,81,9,4,4,4,0,6,4,0.54,0.62,1.16,0.15,327,152,113,14,52,4,44,10,18,1,2,0,16,55,7,4,18,6,50,46,58,4,40,5,45
Argentina,2024-06-21T00:00:00.000Z,Mercedes-Benz Stadium,Jesús Valenzuela Sáez,"70,564",Copa America Grp. A Round 1,48,36,1.16,10,2,2,2,265,81,9,4,4,4,0,6,4,0.54,0.62,1.16,0.15,327,152,113,14,52,4,44,10,1,2,0,16,55,7,4,18,6,50,46,58,4,40,5,45,1052,https://www.fotmob.com/en-GB/matches/canada-vs-argentina/1an224#4407860,Canada,1,64,18,3.02,19,9,9,7,547,91,15,7,7,3,0,15,4,2.39,0.64,3.02,2.95,604,344,203,35,69,3,30,23,37,1,2,0,14,74,8,4,10,2,40,34,43,6,60,6,29
Chile,2024-06-22T00:00:00.000Z,AT&T Stadium,Wilton Pereira Sampaio,"43,030",Copa America Grp. A Round 1,31,35,0.75,7,4,1,1,183,67,18,1,2,1,0,4,3,0.23,0.52,0.75,1.02,274,82,101,19,33,4,31,25,2,1,0,18,72,12,4,18,1,70,49,55,21,44,7,35,1053,https://www.fotmob.com/en-GB/matches/peru-vs-chile/2031k6#4377170,Peru,40,65,13,1.02,11,1,1,1,419,81,19,3,6,4,0,7,4,0.96,0.06,1.02,0.06,517,260,159,24,46,3,30,20,22,2,3,0,15,79,8,1,10,4,67,40,45,27,56,5,28
Peru,2024-06-22T00:00:00.000Z,AT&T Stadium,Wilton Pereira Sampaio,"43,030",Copa America Grp. A Round 1,40,65,1.02,11,1,1,1,419,81,19,3,6,4,0,7,4,0.96,0.06,1.02,0.06,517,260,159,24,46,3,30,20,2,3,0,15,79,8,1,10,4,67,40,45,27,56,5,28,1053,https://www.fotmob.com/en-GB/matches/peru-vs-chile/2031k6#4377170,Chile,31,35,22,0.75,7,4,1,1,183,67,18,1,2,1,0,4,3,0.23,0.52,0.75,1.02,274,82,101,19,33,4,31,25,13,2,1,0,18,72,12,4,18,1,70,49,55,21,44,7,35
Venezuela,2024-06-22T22:00:00.000Z,Levi's Stadium,Wilmar Alexander Roldán Pérez,"29,864",Copa America Grp. B Round 1,30,34,0.86,9,4,2,2,178,71,20,3,4,1,0,4,5,0.48,0.38,0.86,0.57,252,91,87,20,34,5,29,19,1,2,1,6,33,10,4,28,3,57,40,48,17,38,10,50,1054,https://www.fotmob.com/en-GB/matches/venezuela-vs-ecuador/1akn65#4377176,Ecuador,54,66,13,1.69,14,5,4,3,420,86,14,5,5,4,0,8,6,1.00,0.68,1.69,2.20,487,173,247,31,62,5,18,24,34,3,2,0,10,67,5,1,19,4,71,43,52,28,62,9,60
Ecuador,2024-06-22T22:00:00.000Z,Levi's Stadium,Wilmar Alexander Roldán Pérez,"29,864",Copa America Grp. B Round 1,54,66,1.69,14,5,4,3,420,86,14,5,5,4,0,8,6,1.00,0.68,1.69,2.20,487,173,247,31,62,5,18,24,3,2,0,10,67,5,1,19,4,71,43,52,28,62,9,60,1054,https://www.fotmob.com/en-GB/matches/venezuela-vs-ecuador/1akn65#4377176,Venezuela,30,34,34,0.86,9,4,2,2,178,71,20,3,4,1,0,4,5,0.48,0.38,0.86,0.57,252,91,87,20,34,5,29,19,13,1,2,1,6,33,10,4,28,3,57,40,48,17,38,10,50
Jamaica,2024-06-23T01:00:00.000Z,NRG Stadium,Ismail Elfath,"53,763",Copa America Grp. B Round 1,15,61,0.97,20,9,1,1,426,82,8,7,6,5,0,9,11,0.68,0.29,0.97,1.62,520,190,236,18,32,5,23,22,1,0,0,11,61,11,3,30,4,53,31,46,22,48,6,33,1055,https://www.fotmob.com/en-GB/matches/jamaica-vs-mexico/1an228#4377175,Mexico,53,39,30,0.51,13,4,0,0,234,74,7,6,5,4,0,3,10,0.32,0.19,0.51,0.34,318,143,91,24,38,5,26,21,15,3,0,0,13,68,10,5,35,8,61,37,54,24,52,10,67
Mexico,2024-06-23T01:00:00.000Z,NRG Stadium,Ismail Elfath,"53,763",Copa America Grp. B Round 1,53,39,0.51,13,4,0,0,234,74,7,6,5,4,0,3,10,0.32,0.19,0.51,0.34,318,143,91,24,38,5,26,21,3,0,0,13,68,10,5,35,8,61,37,54,24,52,10,67,1055,https://www.fotmob.com/en-GB/matches/jamaica-vs-mexico/1an228#4377175,Jamaica,15,61,15,0.97,20,9,1,1,426,82,8,7,6,5,0,9,11,0.68,0.29,0.97,1.62,520,190,236,18,32,5,23,22,30,1,0,0,11,61,11,3,30,4,53,31,46,22,48,6,33
Bolivia,2024-06-23T22:00:00.000Z,AT&T Stadium,Maurizio Mariani,"47,873",Copa America Grp. C Round 1,11,61,2.51,20,8,3,3,430,83,8,7,6,6,0,15,5,2.35,0.17,2.51,3.39,518,222,208,30,48,6,24,22,1,1,0,12,55,8,1,10,3,55,44,60,11,50,7,44,1056,https://www.fotmob.com/en-GB/matches/bolivia-vs-usa/1alg4q#4377205,USA,84,39,35,0.18,6,3,0,0,274,80,17,1,2,1,0,0,6,0.14,0.03,0.18,0.21,342,172,102,19,42,2,17,28,1,1,3,0,6,43,16,5,28,6,40,29,40,11,50,7,50
USA,2024-06-23T22:00:00.000Z,AT&T Stadium,Maurizio Mariani,"47,873",Copa America Grp. C Round 1,84,39,0.18,6,3,0,0,274,80,17,1,2,1,0,0,6,0.14,0.03,0.18,0.21,342,172,102,19,42,2,17,28,1,3,0,6,43,16,5,28,6,40,29,40,11,50,7,50,1056,https://www.fotmob.com/en-GB/matches/bolivia-vs-usa/1alg4q#4377205,Bolivia,11,61,1,2.51,20,8,3,3,430,83,8,7,6,6,0,15,5,2.35,0.17,2.51,3.39,518,222,208,30,48,6,24,22,35,1,1,0,12,55,8,1,10,3,55,44,60,11,50,7,44
