opp,datetime,stadium,attribute_3,attribute_4,competition,ranking,possession,expected_goals_(xg),total_shots,shots_on_target,big_chances,big_chances_missed,accurate_passes,accurate_passes_pc,fouls_committed,corners,shots_off_target,blocked_shots,hit_woodwork,shots_inside_box,shots_outside_box,xg_open_play,xg_set_play,non-penalty_xg,xg_on_target_(xgot),passes,own_half,opposition_half,accurate_long_balls,accurate_long_balls_pc,accurate_crosses,accurate_crosses_pc,throws,offsides,yellow_cards,red_cards,tackles_won,tackles_won_pc,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_pc,aerial_duels_won,aerial_duels_won_pc,successful_dribbles,successful_dribbles_pc,game_id,url,team,opp_ranking,opp_possession,touches_in_opposition_box,conc_expected_goals_(xg),conc_total_shots,conc_shots_on_target,conc_big_chances,conc_big_chances_missed,conc_accurate_passes,conc_accurate_passes_pc,conc_fouls_committed,conc_corners,conc_shots_off_target,conc_blocked_shots,conc_hit_woodwork,conc_shots_inside_box,conc_shots_outside_box,conc_xg_open_play,conc_xg_set_play,conc_non-penalty_xg,conc_xg_on_target_(xgot),conc_passes,conc_own_half,conc_opposition_half,conc_accurate_long_balls,conc_accurate_long_balls_pc,conc_accurate_crosses,conc_accurate_crosses_pc,conc_throws,conc_touches_in_opposition_box,conc_offsides,conc_yellow_cards,conc_red_cards,conc_tackles_won,conc_tackles_won_pc,conc_interceptions,conc_blocks,conc_clearances,conc_keeper_saves,conc_duels_won,conc_ground_duels_won,conc_ground_duels_won_pc,conc_aerial_duels_won,conc_aerial_duels_won_pc,conc_successful_dribbles,conc_successful_dribbles_pc
Canada,2024-06-21T00:00:00.000Z,Mercedes-Benz Stadium,Jesús Valenzuela Sáez,"70,564",Copa America Grp. A Round 1,1.0,64.0,3.02,19,9,9.0,7.0,547,91.0,15,7,7.0,3.0,0.0,15.0,4.0,2.39,0.64,3.02,2.95,604,344.0,203.0,35.0,69.0,3.0,30.0,23.0,1,2.0,0.0,14.0,74.0,8.0,4.0,10.0,2.0,40.0,34.0,43.0,6.0,60.0,6.0,29.0,1052,https://www.fotmob.com/en-GB/matches/canada-vs-argentina/1an224#4407860,Argentina,48.0,36.0,37.0,1.16,10.0,2.0,2.0,2.0,265,81.0,9.0,4.0,4.0,4.0,0.0,6.0,4.0,0.54,0.62,1.16,0.15,327,152.0,113.0,14.0,52.0,4.0,44.0,10.0,18.0,1.0,2.0,0.0,16.0,55.0,7.0,4.0,18.0,6.0,50.0,46.0,58.0,4.0,40.0,5.0,45.0
Argentina,2024-06-21T00:00:00.000Z,Mercedes-Benz Stadium,Jesús Valenzuela Sáez,"70,564",Copa America Grp. A Round 1,48.0,36.0,1.16,10,2,2.0,2.0,265,81.0,9,4,4.0,4.0,0.0,6.0,4.0,0.54,0.62,1.16,0.15,327,152.0,113.0,14.0,52.0,4.0,44.0,10.0,1,2.0,0.0,16.0,55.0,7.0,4.0,18.0,6.0,50.0,46.0,58.0,4.0,40.0,5.0,45.0,1052,https://www.fotmob.com/en-GB/matches/canada-vs-argentina/1an224#4407860,Canada,1.0,64.0,18.0,3.02,19.0,9.0,9.0,7.0,547,91.0,15.0,7.0,7.0,3.0,0.0,15.0,4.0,2.39,0.64,3.02,2.95,604,344.0,203.0,35.0,69.0,3.0,30.0,23.0,37.0,1.0,2.0,0.0,14.0,74.0,8.0,4.0,10.0,2.0,40.0,34.0,43.0,6.0,60.0,6.0,29.0
Chile,2024-06-22T00:00:00.000Z,AT&T Stadium,Wilton Pereira Sampaio,"43,030",Copa America Grp. A Round 1,31.0,35.0,0.75,7,4,1.0,1.0,183,67.0,18,1,2.0,1.0,0.0,4.0,3.0,0.23,0.52,0.75,1.02,274,82.0,101.0,19.0,33.0,4.0,31.0,25.0,2,1.0,0.0,18.0,72.0,12.0,4.0,18.0,1.0,70.0,49.0,55.0,21.0,44.0,7.0,35.0,1053,https://www.fotmob.com/en-GB/matches/peru-vs-chile/2031k6#4377170,Peru,40.0,65.0,13.0,1.02,11.0,1.0,1.0,1.0,419,81.0,19.0,3.0,6.0,4.0,0.0,7.0,4.0,0.96,0.06,1.02,0.06,517,260.0,159.0,24.0,46.0,3.0,30.0,20.0,22.0,2.0,3.0,0.0,15.0,79.0,8.0,1.0,10.0,4.0,67.0,40.0,45.0,27.0,56.0,5.0,28.0
Peru,2024-06-22T00:00:00.000Z,AT&T Stadium,Wilton Pereira Sampaio,"43,030",Copa America Grp. A Round 1,40.0,65.0,1.02,11,1,1.0,1.0,419,81.0,19,3,6.0,4.0,0.0,7.0,4.0,0.96,0.06,1.02,0.06,517,260.0,159.0,24.0,46.0,3.0,30.0,20.0,2,3.0,0.0,15.0,79.0,8.0,1.0,10.0,4.0,67.0,40.0,45.0,27.0,56.0,5.0,28.0,1053,https://www.fotmob.com/en-GB/matches/peru-vs-chile/2031k6#4377170,Chile,31.0,35.0,22.0,0.75,7.0,4.0,1.0,1.0,183,67.0,18.0,1.0,2.0,1.0,0.0,4.0,3.0,0.23,0.52,0.75,1.02,274,82.0,101.0,19.0,33.0,4.0,31.0,25.0,13.0,2.0,1.0,0.0,18.0,72.0,12.0,4.0,18.0,1.0,70.0,49.0,55.0,21.0,44.0,7.0,35.0
Venezuela,2024-06-22T22:00:00.000Z,Levi's Stadium,Wilmar Alexander Roldán Pérez,"29,864",Copa America Grp. B Round 1,30.0,34.0,0.86,9,4,2.0,2.0,178,71.0,20,3,4.0,1.0,0.0,4.0,5.0,0.48,0.38,0.86,0.57,252,91.0,87.0,20.0,34.0,5.0,29.0,19.0,1,2.0,1.0,6.0,33.0,10.0,4.0,28.0,3.0,57.0,40.0,48.0,17.0,38.0,10.0,50.0,1054,https://www.fotmob.com/en-GB/matches/venezuela-vs-ecuador/1akn65#4377176,Ecuador,54.0,66.0,13.0,1.69,14.0,5.0,4.0,3.0,420,86.0,14.0,5.0,5.0,4.0,0.0,8.0,6.0,1.0,0.68,1.69,2.2,487,173.0,247.0,31.0,62.0,5.0,18.0,24.0,34.0,3.0,2.0,0.0,10.0,67.0,5.0,1.0,19.0,4.0,71.0,43.0,52.0,28.0,62.0,9.0,60.0
Ecuador,2024-06-22T22:00:00.000Z,Levi's Stadium,Wilmar Alexander Roldán Pérez,"29,864",Copa America Grp. B Round 1,54.0,66.0,1.69,14,5,4.0,3.0,420,86.0,14,5,5.0,4.0,0.0,8.0,6.0,1.0,0.68,1.69,2.2,487,173.0,247.0,31.0,62.0,5.0,18.0,24.0,3,2.0,0.0,10.0,67.0,5.0,1.0,19.0,4.0,71.0,43.0,52.0,28.0,62.0,9.0,60.0,1054,https://www.fotmob.com/en-GB/matches/venezuela-vs-ecuador/1akn65#4377176,Venezuela,30.0,34.0,34.0,0.86,9.0,4.0,2.0,2.0,178,71.0,20.0,3.0,4.0,1.0,0.0,4.0,5.0,0.48,0.38,0.86,0.57,252,91.0,87.0,20.0,34.0,5.0,29.0,19.0,13.0,1.0,2.0,1.0,6.0,33.0,10.0,4.0,28.0,3.0,57.0,40.0,48.0,17.0,38.0,10.0,50.0
Jamaica,2024-06-23T01:00:00.000Z,NRG Stadium,Ismail Elfath,"53,763",Copa America Grp. B Round 1,15.0,61.0,0.97,20,9,1.0,1.0,426,82.0,8,7,6.0,5.0,0.0,9.0,11.0,0.68,0.29,0.97,1.62,520,190.0,236.0,18.0,32.0,5.0,23.0,22.0,1,0.0,0.0,11.0,61.0,11.0,3.0,30.0,4.0,53.0,31.0,46.0,22.0,48.0,6.0,33.0,1055,https://www.fotmob.com/en-GB/matches/jamaica-vs-mexico/1an228#4377175,Mexico,53.0,39.0,30.0,0.51,13.0,4.0,0.0,0.0,234,74.0,7.0,6.0,5.0,4.0,0.0,3.0,10.0,0.32,0.19,0.51,0.34,318,143.0,91.0,24.0,38.0,5.0,26.0,21.0,15.0,3.0,0.0,0.0,13.0,68.0,10.0,5.0,35.0,8.0,61.0,37.0,54.0,24.0,52.0,10.0,67.0
Mexico,2024-06-23T01:00:00.000Z,NRG Stadium,Ismail Elfath,"53,763",Copa America Grp. B Round 1,53.0,39.0,0.51,13,4,0.0,0.0,234,74.0,7,6,5.0,4.0,0.0,3.0,10.0,0.32,0.19,0.51,0.34,318,143.0,91.0,24.0,38.0,5.0,26.0,21.0,3,0.0,0.0,13.0,68.0,10.0,5.0,35.0,8.0,61.0,37.0,54.0,24.0,52.0,10.0,67.0,1055,https://www.fotmob.com/en-GB/matches/jamaica-vs-mexico/1an228#4377175,Jamaica,15.0,61.0,15.0,0.97,20.0,9.0,1.0,1.0,426,82.0,8.0,7.0,6.0,5.0,0.0,9.0,11.0,0.68,0.29,0.97,1.62,520,190.0,236.0,18.0,32.0,5.0,23.0,22.0,30.0,1.0,0.0,0.0,11.0,61.0,11.0,3.0,30.0,4.0,53.0,31.0,46.0,22.0,48.0,6.0,33.0
Bolivia,2024-06-23T22:00:00.000Z,AT&T Stadium,Maurizio Mariani,"47,873",Copa America Grp. C Round 1,11.0,61.0,2.51,20,8,3.0,3.0,430,83.0,8,7,6.0,6.0,0.0,15.0,5.0,2.35,0.17,2.51,3.39,518,222.0,208.0,30.0,48.0,6.0,24.0,22.0,1,1.0,0.0,12.0,55.0,8.0,1.0,10.0,3.0,55.0,44.0,60.0,11.0,50.0,7.0,44.0,1056,https://www.fotmob.com/en-GB/matches/bolivia-vs-usa/1alg4q#4377205,USA,84.0,39.0,35.0,0.18,6.0,3.0,0.0,0.0,274,80.0,17.0,1.0,2.0,1.0,0.0,0.0,6.0,0.14,0.03,0.18,0.21,342,172.0,102.0,19.0,42.0,2.0,17.0,28.0,1.0,1.0,3.0,0.0,6.0,43.0,16.0,5.0,28.0,6.0,40.0,29.0,40.0,11.0,50.0,7.0,50.0
USA,2024-06-23T22:00:00.000Z,AT&T Stadium,Maurizio Mariani,"47,873",Copa America Grp. C Round 1,84.0,39.0,0.18,6,3,0.0,0.0,274,80.0,17,1,2.0,1.0,0.0,0.0,6.0,0.14,0.03,0.18,0.21,342,172.0,102.0,19.0,42.0,2.0,17.0,28.0,1,3.0,0.0,6.0,43.0,16.0,5.0,28.0,6.0,40.0,29.0,40.0,11.0,50.0,7.0,50.0,1056,https://www.fotmob.com/en-GB/matches/bolivia-vs-usa/1alg4q#4377205,Bolivia,11.0,61.0,1.0,2.51,20.0,8.0,3.0,3.0,430,83.0,8.0,7.0,6.0,6.0,0.0,15.0,5.0,2.35,0.17,2.51,3.39,518,222.0,208.0,30.0,48.0,6.0,24.0,22.0,35.0,1.0,1.0,0.0,12.0,55.0,8.0,1.0,10.0,3.0,55.0,44.0,60.0,11.0,50.0,7.0,44.0
