home_team,away_team,wide_fouls_home,wide_fouls_away,total_fouls_home,total_fouls_away,wide_aerial_duels_home,wide_aerial_duels_away,total_aerial_duels_home,total_aerial_duels_away,wide_dribbles_home,wide_dribbles_away,total_dribbles_home,total_dribbles_away,wide_tackles_attempted_home,wide_tackles_attempted_away,total_tackles_attempted_home,total_tackles_attempted_away,wide_clearances_home,wide_clearances_away,total_clearances_home,total_clearances_away,wide_loss_of_possession_home,wide_loss_of_possession_away,total_loss_of_possession_home,total_loss_of_possession_away,wide_blocks_home,wide_blocks_away,total_blocks_home,total_blocks_away,datetime,date
Brentford,West Ham,0.0,4.0,2.0,6.0,3,3,15,13,4.0,6.0,8.0,17.0,6.0,6.0,19.0,11.0,2.0,2.0,16.0,33.0,5.0,6.0,16.0,14.0,4.0,2.0,9.0,10.0,2022-04-10,2022-04-10
Brentford,Wolves,1.0,1.0,6.0,7.0,7,4,25,14,6.0,15.0,17.0,25.0,16.0,13.0,32.0,33.0,0.0,2.0,14.0,34.0,16.0,18.0,31.0,27.0,3.0,8.0,7.0,17.0,2022-01-22,2022-01-22
Aston Villa,Newcastle,10.0,6.0,13.0,15.0,4,4,8,11,15.0,18.0,21.0,29.0,16.0,21.0,28.0,27.0,2.0,1.0,14.0,13.0,13.0,9.0,26.0,18.0,3.0,9.0,9.0,16.0,2023-04-15,2023-04-15
Arsenal,Liverpool,6.0,2.0,9.0,9.0,2,3,6,15,7.0,6.0,17.0,10.0,9.0,12.0,20.0,30.0,3.0,1.0,17.0,15.0,16.0,9.0,35.0,28.0,9.0,6.0,14.0,15.0,2022-03-16,2022-03-16
Aston Villa,Bournemouth,3.0,4.0,8.0,13.0,2,1,7,9,12.0,13.0,31.0,27.0,14.0,18.0,28.0,39.0,1.0,1.0,8.0,17.0,12.0,11.0,24.0,23.0,2.0,9.0,9.0,18.0,2023-03-18,2023-03-18
Arsenal,Nottingham Forest,7.0,3.0,9.0,8.0,6,6,10,13,4.0,7.0,7.0,14.0,8.0,11.0,18.0,26.0,1.0,0.0,11.0,30.0,11.0,8.0,32.0,21.0,2.0,3.0,7.0,20.0,2022-10-30,2022-10-30
Brentford,Everton,5.0,3.0,8.0,11.0,0,9,12,25,13.0,15.0,29.0,26.0,16.0,17.0,32.0,35.0,0.0,3.0,18.0,26.0,13.0,12.0,24.0,30.0,4.0,6.0,11.0,9.0,2021-11-28,2021-11-28
Arsenal,Man City,4.0,3.0,13.0,5.0,1,6,5,16,4.0,7.0,17.0,19.0,10.0,6.0,26.0,23.0,1.0,1.0,15.0,23.0,9.0,14.0,17.0,26.0,3.0,0.0,13.0,2.0,2022-01-01,2022-01-01
Aston Villa,Leeds,5.0,5.0,11.0,9.0,3,1,15,6,4.0,13.0,12.0,21.0,14.0,3.0,26.0,12.0,1.0,2.0,24.0,15.0,8.0,9.0,19.0,18.0,5.0,5.0,15.0,10.0,2022-02-09,2022-02-09
Arsenal,Chelsea,7.0,5.0,10.0,10.0,4,5,12,20,5.0,10.0,15.0,16.0,14.0,10.0,21.0,21.0,0.0,4.0,12.0,22.0,8.0,11.0,17.0,20.0,3.0,3.0,10.0,17.0,2023-05-02,2023-05-02
Brighton,Aston Villa,5.0,7.0,14.0,11.0,4,3,10,8,14.0,4.0,17.0,12.0,8.0,15.0,19.0,26.0,1.0,5.0,7.0,34.0,9.0,18.0,27.0,27.0,7.0,7.0,12.0,11.0,2022-11-13,2022-11-13
Aston Villa,Wolves,1.0,11.0,8.0,17.0,5,2,14,12,3.0,6.0,17.0,13.0,6.0,6.0,20.0,18.0,1.0,1.0,22.0,20.0,4.0,7.0,10.0,24.0,6.0,7.0,12.0,12.0,2021-10-16,2021-10-16
Arsenal,Brentford,3.0,3.0,9.0,9.0,3,7,13,32,8.0,2.0,21.0,10.0,3.0,8.0,15.0,25.0,2.0,3.0,16.0,34.0,4.0,5.0,17.0,13.0,1.0,7.0,9.0,19.0,2023-02-11,2023-02-11
Brighton,Leeds,4.0,9.0,12.0,14.0,7,5,17,14,14.0,8.0,31.0,14.0,7.0,21.0,18.0,44.0,0.0,0.0,13.0,18.0,15.0,18.0,35.0,31.0,8.0,2.0,11.0,11.0,2021-11-27,2021-11-27
Bournemouth,Sheff Utd,7.0,5.0,12.0,11.0,2,5,32,24,7.0,8.0,17.0,18.0,7.0,12.0,19.0,24.0,1.0,3.0,16.0,43.0,8.0,5.0,20.0,17.0,8.0,3.0,12.0,21.0,2024-03-09,2024-03-09
Brighton,Fulham,5.0,3.0,12.0,8.0,0,2,13,10,8.0,10.0,22.0,18.0,16.0,13.0,30.0,33.0,0.0,0.0,10.0,14.0,11.0,12.0,32.0,25.0,4.0,1.0,10.0,9.0,2023-10-29,2023-10-29
Aston Villa,Brentford,5.0,5.0,15.0,14.0,4,3,21,20,7.0,8.0,14.0,13.0,11.0,8.0,18.0,26.0,3.0,4.0,15.0,21.0,6.0,8.0,29.0,19.0,7.0,5.0,16.0,12.0,2021-08-28,2021-08-28
Arsenal,Man Utd,3.0,3.0,8.0,9.0,3,2,11,16,9.0,11.0,21.0,18.0,13.0,10.0,28.0,32.0,1.0,0.0,10.0,36.0,5.0,11.0,27.0,28.0,5.0,5.0,11.0,25.0,2023-01-22,2023-01-22
Bournemouth,Man Utd,3.0,3.0,6.0,7.0,2,4,7,13,8.0,16.0,25.0,25.0,16.0,9.0,27.0,34.0,1.0,1.0,20.0,14.0,8.0,15.0,30.0,22.0,5.0,4.0,19.0,10.0,2023-05-20,2023-05-20
Arsenal,Wolves,5.0,5.0,10.0,10.0,1,4,9,11,12.0,10.0,15.0,20.0,9.0,14.0,26.0,21.0,0.0,2.0,9.0,18.0,10.0,17.0,23.0,23.0,5.0,3.0,8.0,16.0,2023-12-02,2023-12-02
Brentford,Chelsea,5.0,5.0,10.0,9.0,5,2,18,13,8.0,11.0,16.0,29.0,11.0,13.0,32.0,28.0,2.0,5.0,20.0,16.0,14.0,9.0,33.0,30.0,4.0,5.0,18.0,8.0,2024-03-02,2024-03-02
