Season,HomeTeam,AwayTeam,FTHG,FTAG,DateTime
2018-19,Arsenal,Fulham,4,1,2019-01-01 00:00:00+00:00
2018-19,Cardiff,Tottenham,0,3,2019-01-01 00:00:00+00:00
2018-19,Everton,Leicester,0,1,2019-01-01 00:00:00+00:00
2018-19,Bournemouth,Watford,3,3,2019-01-02 00:00:00+00:00
2018-19,Chelsea,Southampton,0,0,2019-01-02 00:00:00+00:00
2018-19,Huddersfield,Burnley,1,2,2019-01-02 00:00:00+00:00
2018-19,Newcastle,Man United,0,2,2019-01-02 00:00:00+00:00
2018-19,West Ham,Brighton,2,2,2019-01-02 00:00:00+00:00
2018-19,Wolves,Crystal Palace,0,2,2019-01-02 00:00:00+00:00
2018-19,Man City,Liverpool,2,1,2019-01-03 00:00:00+00:00
2018-19,Brighton,Liverpool,0,1,2019-01-12 00:00:00+00:00
2018-19,Burnley,Fulham,2,1,2019-01-12 00:00:00+00:00
2018-19,Cardiff,Huddersfield,0,0,2019-01-12 00:00:00+00:00
2018-19,Chelsea,Newcastle,2,1,2019-01-12 00:00:00+00:00
2018-19,Crystal Palace,Watford,1,2,2019-01-12 00:00:00+00:00
2018-19,Leicester,Southampton,1,2,2019-01-12 00:00:00+00:00
2018-19,West Ham,Arsenal,1,0,2019-01-12 00:00:00+00:00
2018-19,Everton,Bournemouth,2,0,2019-01-13 00:00:00+00:00
2018-19,Tottenham,Man United,0,1,2019-01-13 00:00:00+00:00
2018-19,Man City,Wolves,3,0,2019-01-14 00:00:00+00:00
2018-19,Arsenal,Chelsea,2,0,2019-01-19 00:00:00+00:00
2018-19,Bournemouth,West Ham,2,0,2019-01-19 00:00:00+00:00
2018-19,Liverpool,Crystal Palace,4,3,2019-01-19 00:00:00+00:00
2018-19,Man United,Brighton,2,1,2019-01-19 00:00:00+00:00
2018-19,Newcastle,Cardiff,3,0,2019-01-19 00:00:00+00:00
2018-19,Southampton,Everton,2,1,2019-01-19 00:00:00+00:00
2018-19,Watford,Burnley,0,0,2019-01-19 00:00:00+00:00
2018-19,Wolves,Leicester,4,3,2019-01-19 00:00:00+00:00
2018-19,Fulham,Tottenham,1,2,2019-01-20 00:00:00+00:00
2018-19,Huddersfield,Man City,0,3,2019-01-20 00:00:00+00:00
2018-19,Arsenal,Cardiff,2,1,2019-01-29 00:00:00+00:00
2018-19,Fulham,Brighton,4,2,2019-01-29 00:00:00+00:00
2018-19,Huddersfield,Everton,0,1,2019-01-29 00:00:00+00:00
2018-19,Man United,Burnley,2,2,2019-01-29 00:00:00+00:00
2018-19,Newcastle,Man City,2,1,2019-01-29 00:00:00+00:00
2018-19,Wolves,West Ham,3,0,2019-01-29 00:00:00+00:00
2018-19,Bournemouth,Chelsea,4,0,2019-01-30 00:00:00+00:00
2018-19,Liverpool,Leicester,1,1,2019-01-30 00:00:00+00:00
2018-19,Southampton,Crystal Palace,1,1,2019-01-30 00:00:00+00:00
2018-19,Tottenham,Watford,2,1,2019-01-30 00:00:00+00:00
2018-19,Brighton,Watford,0,0,2019-02-02 00:00:00+00:00
2018-19,Burnley,Southampton,1,1,2019-02-02 00:00:00+00:00
2018-19,Cardiff,Bournemouth,2,0,2019-02-02 00:00:00+00:00
2018-19,Chelsea,Huddersfield,5,0,2019-02-02 00:00:00+00:00
2018-19,Crystal Palace,Fulham,2,0,2019-02-02 00:00:00+00:00
2018-19,Everton,Wolves,1,3,2019-02-02 00:00:00+00:00
2018-19,Tottenham,Newcastle,1,0,2019-02-02 00:00:00+00:00
2018-19,Leicester,Man United,0,1,2019-02-03 00:00:00+00:00
2018-19,Man City,Arsenal,3,1,2019-02-03 00:00:00+00:00
2018-19,West Ham,Liverpool,1,1,2019-02-04 00:00:00+00:00
2018-19,Everton,Man City,0,2,2019-02-06 00:00:00+00:00
2018-19,Brighton,Burnley,1,3,2019-02-09 00:00:00+00:00
2018-19,Crystal Palace,West Ham,1,1,2019-02-09 00:00:00+00:00
2018-19,Fulham,Man United,0,3,2019-02-09 00:00:00+00:00
2018-19,Huddersfield,Arsenal,1,2,2019-02-09 00:00:00+00:00
2018-19,Liverpool,Bournemouth,3,0,2019-02-09 00:00:00+00:00
2018-19,Southampton,Cardiff,1,2,2019-02-09 00:00:00+00:00
2018-19,Watford,Everton,1,0,2019-02-09 00:00:00+00:00
2018-19,Man City,Chelsea,6,0,2019-02-10 00:00:00+00:00
2018-19,Tottenham,Leicester,3,1,2019-02-10 00:00:00+00:00
2018-19,Wolves,Newcastle,1,1,2019-02-11 00:00:00+00:00
2018-19,Cardiff,Watford,1,5,2019-02-22 00:00:00+00:00
2018-19,West Ham,Fulham,3,1,2019-02-22 00:00:00+00:00
2018-19,Bournemouth,Wolves,1,1,2019-02-23 00:00:00+00:00
2018-19,Burnley,Tottenham,2,1,2019-02-23 00:00:00+00:00
2018-19,Leicester,Crystal Palace,1,4,2019-02-23 00:00:00+00:00
2018-19,Newcastle,Huddersfield,2,0,2019-02-23 00:00:00+00:00
2018-19,Arsenal,Southampton,2,0,2019-02-24 00:00:00+00:00
2018-19,Man United,Liverpool,0,0,2019-02-24 00:00:00+00:00
2018-19,Cardiff,Everton,0,3,2019-02-26 00:00:00+00:00
2018-19,Huddersfield,Wolves,1,0,2019-02-26 00:00:00+00:00
2018-19,Leicester,Brighton,2,1,2019-02-26 00:00:00+00:00
2018-19,Newcastle,Burnley,2,0,2019-02-26 00:00:00+00:00
2018-19,Arsenal,Bournemouth,5,1,2019-02-27 00:00:00+00:00
2018-19,Chelsea,Tottenham,2,0,2019-02-27 00:00:00+00:00
2018-19,Crystal Palace,Man United,1,3,2019-02-27 00:00:00+00:00
2018-19,Liverpool,Watford,5,0,2019-02-27 00:00:00+00:00
2018-19,Man City,West Ham,1,0,2019-02-27 00:00:00+00:00
2018-19,Southampton,Fulham,2,0,2019-02-27 00:00:00+00:00
2018-19,Bournemouth,Man City,0,1,2019-03-02 00:00:00+00:00
2018-19,Brighton,Huddersfield,1,0,2019-03-02 00:00:00+00:00
2018-19,Burnley,Crystal Palace,1,3,2019-03-02 00:00:00+00:00
2018-19,Man United,Southampton,3,2,2019-03-02 00:00:00+00:00
2018-19,Tottenham,Arsenal,1,1,2019-03-02 00:00:00+00:00
2018-19,West Ham,Newcastle,2,0,2019-03-02 00:00:00+00:00
2018-19,Wolves,Cardiff,2,0,2019-03-02 00:00:00+00:00
2018-19,Everton,Liverpool,0,0,2019-03-03 00:00:00+00:00
2018-19,Fulham,Chelsea,1,2,2019-03-03 00:00:00+00:00
2018-19,Watford,Leicester,2,1,2019-03-03 00:00:00+00:00
2018-19,Cardiff,West Ham,2,0,2019-03-09 00:00:00+00:00
2018-19,Crystal Palace,Brighton,1,2,2019-03-09 00:00:00+00:00
2018-19,Huddersfield,Bournemouth,0,2,2019-03-09 00:00:00+00:00
2018-19,Leicester,Fulham,3,1,2019-03-09 00:00:00+00:00
2018-19,Man City,Watford,3,1,2019-03-09 00:00:00+00:00
2018-19,Newcastle,Everton,3,2,2019-03-09 00:00:00+00:00
2018-19,Southampton,Tottenham,2,1,2019-03-09 00:00:00+00:00
